"id","userId","sl_no","type","itemId","originId","amount","quantity","createdAt","updatedAt","stock","avgRate"
"d9bbe73c-71b7-471e-9340-2d914b10468b","24b5aef6-9ed2-4a75-ad69-afa805d17749","18","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","260","20","2024-09-28 16:16:07.827","2024-09-30 05:50:18.509","251","12.93"
"da84e10f-8b4f-4d92-adec-0770a6bab4be","785f39c4-0c76-4730-a663-e68df8e16bde","60","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","130","10","2024-09-26 17:48:16.723","2024-09-30 12:38:56.981","322","12.99"
"da9e67e0-9b2d-4a42-9eca-8a1d60056da3","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","18","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","eac99b52-9176-4c2b-83c1-07b935bd3fef","800","6","2024-09-30 12:08:12.581","2024-09-30 12:08:12.581","6","8.57"
"db6263d8-82c8-412d-823c-e26f87767838","785f39c4-0c76-4730-a663-e68df8e16bde","23","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-27 17:34:02.937","2024-09-30 12:38:56.981","103","12.92"
"dc32f89f-9cd4-4e35-b36e-956a278ab8ed","4e2364e5-6611-4e4f-907b-43923da742f4","23","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","2e22fcab-6896-4999-bcb8-3eae746250c7","130","10","2024-09-26 12:14:53.607","2024-09-30 12:38:56.981","208","12.98"
"de84343a-07c6-44aa-8d7f-e3ec8ed7b9a6","708673fd-51aa-4253-8c4f-8f13c2f3c70c","53","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","c48bb4c9-b68b-4bb0-b0e7-ca68b700e4ae","510","40","2024-09-25 20:06:38.848","2024-09-30 12:38:56.981","187","12.97"
"e1c415d7-e227-4d34-86bc-d808e9705fb4","785f39c4-0c76-4730-a663-e68df8e16bde","30","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","130","10","2024-09-30 17:05:44.014","2024-09-30 17:05:44.014","290","13.00"
"e2c259a6-26fe-4fe0-98dc-624d5d198ae1","785f39c4-0c76-4730-a663-e68df8e16bde","48","SELL","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","250","4","2024-09-26 15:33:46.944","2024-09-30 12:38:56.981","515","57.56"
"e2ea7b4b-fb98-4ea3-af05-5767317e218a","0a486e2b-c76f-4f4f-8b8e-c4a6d71a9461","13","BUY","8c8257d0-878a-473e-a9d1-e3e3a73af043","513ccec2-2702-455c-8e17-caac1cdb996b","946","119","2024-09-25 12:17:39.536","2024-09-30 05:50:18.509","189","9.07"
"e5077439-1846-4380-9fd1-f3df5c212c73","785f39c4-0c76-4730-a663-e68df8e16bde","47","SELL","c331abe1-e7aa-4d31-9f10-11b98219cb66","f0f9c94d-1cdd-4f05-a5aa-cd93470b1f11","150","2","2024-09-26 15:33:19.802","2024-09-30 12:38:56.981","520","57.15"
"e5b08bb2-65b7-463e-bbe0-137da50c457e","785f39c4-0c76-4730-a663-e68df8e16bde","26","SELL","8c8257d0-878a-473e-a9d1-e3e3a73af043","9aecf87c-0b29-4cfb-ac11-8ed2d3bfb28d","325","25","2024-09-27 18:27:32.752","2024-09-30 12:38:56.981","54","12.92"
"e8e239b9-90cf-4165-aa17-0596cf6c1420","785f39c4-0c76-4730-a663-e68df8e16bde","39","BUY","c18c0ba0-0833-46d4-91cb-4239dfa99618","3a15ea2f-ac58-4668-97aa-7f71e2c04a53","585","15","2024-09-26 14:06:23.474","2024-09-30 12:38:56.981","466","39.99"
